Time,u1,y1,y2,x1,x2,x3
10790,15856347,15834809,1030.797607421875,15815411,0.7127959132194519,586.025390625
10800,15847030,15854043,1031.118286132813,15856347,0.7130434513092041,586.2288818359375
10810,15837712,15847074,1031.00244140625,15847030,0.7129541635513306,586.155517578125
10820,15828395,15837756,1030.84716796875,15837712,0.7128342986106873,586.0569458007813
10830,15819077,15828438,1030.69189453125,15828395,0.7127143740653992,585.9583740234375
10840,15809759,15819121,1030.53662109375,15819077,0.7125945091247559,585.8598022460938
10850,15800442,15809803,1030.38134765625,15809759,0.7124745845794678,585.76123046875
10860,15791124,15800486,1030.22607421875,15800442,0.7123547196388245,585.6626586914063
10870,15781807,15791168,1030.07080078125,15791124,0.7122347950935364,585.5640869140625
10880,15772489,15781851,1029.91552734375,15781807,0.7121149301528931,585.4655151367188
10890,15763171,15772533,1029.760131835938,15772489,0.711995005607605,585.366943359375
10900,15753854,15763215,1029.604858398438,15763171,0.7118751406669617,585.2683715820313
10910,15744536,15753898,1029.449584960938,15753854,0.7117552757263184,585.1697998046875
10920,15735219,15744580,1029.294189453125,15744536,0.7116353511810303,585.0712280273438
10930,15725901,15735263,1029.138916015625,15735219,0.711515486240387,584.97265625
10940,15716584,15725945,1028.983642578125,15725901,0.7113955616950989,584.8740844726563
10950,15707266,15716627,1028.828247070313,15716584,0.7112756967544556,584.7755126953125
10960,15697948,15707310,1028.672973632813,15707266,0.7111558318138123,584.6769409179688
10970,15688631,15697992,1028.517578125,15697948,0.7110359072685242,584.578369140625
10980,15679313,15688675,1028.362182617188,15688631,0.7109160423278809,584.4798583984375
10990,15669996,15679357,1028.206909179688,15679313,0.7107961177825928,584.3812866210938
11000,15660678,15670040,1028.051513671875,15669996,0.7106762528419495,584.28271484375
11010,15651360,15660722,1027.896118164063,15660678,0.7105563282966614,584.1841430664063
11020,15642043,15651404,1027.740844726563,15651360,0.7104364633560181,584.0855712890625
11030,15632725,15642087,1027.58544921875,15642043,0.7103165984153748,583.9869995117188
11040,15623408,15632769,1027.430053710938,15632725,0.7101966738700867,583.888427734375
11050,15614090,15623452,1027.274658203125,15623408,0.7100768089294434,583.7898559570313
11060,15604773,15614134,1027.119262695313,15614090,0.7099568843841553,583.6912841796875
11070,15595455,15604816,1026.9638671875,15604773,0.709837019443512,583.5927124023438
11080,15586137,15595499,1026.808471679688,15595455,0.7097171545028687,583.494140625
11090,15576820,15586181,1026.653076171875,15586137,0.7095972299575806,583.3955688476563
11100,15567502,15576864,1026.497680664063,15576820,0.7094773650169373,583.2970581054688
11110,15558185,15567546,1026.34228515625,15567502,0.7093575000762939,583.198486328125
11120,15548867,15558228,1026.186889648438,15558185,0.7092375755310059,583.0999145507813
11130,15539549,15548911,1026.031494140625,15548867,0.7091177105903625,583.0013427734375
11140,15530232,15539593,1025.8759765625,15539549,0.7089977860450745,582.9027709960938
11150,15520914,15530276,1025.720581054688,15530232,0.7088779211044312,582.80419921875
11160,15511597,15520958,1025.565185546875,15520914,0.7087580561637878,582.7056274414063
11170,15502279,15511641,1025.409790039063,15511597,0.7086381316184998,582.6070556640625
11180,15492962,15502323,1025.254272460938,15502279,0.7085182666778564,582.5084838867188
11190,15483644,15493005,1025.098876953125,15492962,0.7083984017372131,582.4099731445313
11200,15474326,15483688,1024.943359375,15483644,0.708278477191925,582.3114013671875
11210,15465009,15474370,1024.787963867188,15474326,0.7081586122512817,582.2128295898438
11220,15455691,15465053,1024.632446289063,15465009,0.7080386877059937,582.1142578125
11230,15446374,15455735,1024.47705078125,15455691,0.7079188227653503,582.0156860351563
11240,15437056,15446417,1024.321533203125,15446374,0.707798957824707,581.9171142578125
11250,15427738,15437100,1024.166015625,15437056,0.7076790332794189,581.8185424804688
11260,15418421,15427782,1024.010620117188,15427738,0.7075591683387756,581.719970703125
11270,15409103,15418465,1023.855102539063,15418421,0.7074393033981323,581.6214599609375
11280,15399786,15409147,1023.699584960938,15409103,0.7073193788528442,581.5228881835938
11290,15390468,15399829,1023.544128417969,15399786,0.7071995139122009,581.42431640625
